Created as New Dataset,
nm,%T
800.0,87.29
798.0,86.75
796.0,86.18
794.0,85.58
792.0,84.89
790.0,84.19
788.0,83.46
786.0,82.64
784.0,81.83
782.0,80.97
780.0,80.00
778.0,79.01
776.0,77.95
774.0,76.79
772.0,75.59
770.0,74.26
768.0,72.87
766.0,71.37
764.0,69.69
762.0,67.90
760.0,65.93
758.0,63.86
756.0,61.60
754.0,59.18
752.0,56.64
750.0,53.92
748.0,51.09
746.0,48.17
744.0,45.18
742.0,42.14
740.0,39.11
738.0,36.12
736.0,33.22
734.0,30.41
732.0,27.73
730.0,25.23
728.0,22.94
726.0,20.84
724.0,18.95
722.0,17.29
720.0,15.82
718.0,14.56
716.0,13.49
714.0,12.57
712.0,11.79
710.0,11.13
708.0,10.58
706.0,10.11
704.0,9.70
702.0,9.35
700.0,9.04
698.0,8.76
696.0,8.50
694.0,8.26
692.0,8.04
690.0,7.83
688.0,7.63
686.0,7.44
684.0,7.26
682.0,7.09
680.0,6.92
678.0,6.76
676.0,6.61
674.0,6.47
672.0,6.34
670.0,6.22
668.0,6.10
666.0,5.99
664.0,5.89
662.0,5.80
660.0,5.72
658.0,5.65
656.0,5.58
654.0,5.53
652.0,5.48
650.0,5.44
648.0,5.41
646.0,5.38
644.0,5.36
642.0,5.35
640.0,5.35
638.0,5.35
636.0,5.35
634.0,5.36
632.0,5.38
630.0,5.39
628.0,5.41
626.0,5.43
624.0,5.46
622.0,5.49
620.0,5.52
618.0,5.55
616.0,5.58
614.0,5.62
612.0,5.66
610.0,5.71
608.0,5.76
606.0,5.81
604.0,5.87
602.0,5.93
600.0,6.00
598.0,6.07
596.0,6.14
594.0,6.21
592.0,6.28
590.0,6.35
588.0,6.42
586.0,6.47
584.0,6.52
582.0,6.55
580.0,6.57
578.0,6.56
576.0,6.54
574.0,6.50
572.0,6.44
570.0,6.36
568.0,6.27
566.0,6.16
564.0,6.04
562.0,5.92
560.0,5.79
558.0,5.66
556.0,5.54
554.0,5.43
552.0,5.32
550.0,5.22
548.0,5.12
546.0,5.02
544.0,4.92
542.0,4.82
540.0,4.72
538.0,4.60
536.0,4.46
534.0,4.31
532.0,4.14
530.0,3.95
528.0,3.75
526.0,3.53
524.0,3.30
522.0,3.08
520.0,2.87
518.0,2.67
516.0,2.51
514.0,2.39
512.0,2.33
510.0,2.35
508.0,2.45
506.0,2.66
504.0,3.00
502.0,3.48
500.0,4.09
498.0,4.80
496.0,5.56
494.0,6.29
492.0,6.88
490.0,7.29
488.0,7.46
486.0,7.39
484.0,7.03
482.0,6.27
480.0,5.35
478.0,4.62
476.0,4.06
474.0,3.60
472.0,3.20
470.0,2.89
468.0,2.67
466.0,2.54
464.0,2.52
462.0,2.59
460.0,2.74
458.0,2.96
456.0,3.22
454.0,3.50
452.0,3.77
450.0,4.01
448.0,4.22
446.0,4.41
444.0,4.43
442.0,4.32
440.0,4.23
438.0,4.16
436.0,4.12
434.0,4.08
432.0,4.05
430.0,4.01
428.0,3.95
426.0,3.86
424.0,3.72
422.0,3.52
420.0,3.26
418.0,2.92
416.0,2.50
414.0,2.01
412.0,1.50
410.0,1.00
408.0,0.59
406.0,0.30
404.0,0.12
402.0,0.04
400.0,0.02
398.0,0.01
396.0,0.01
394.0,0.01
392.0,0.01
390.0,0.01
388.0,0.01
386.0,0.01
384.0,0.01
382.0,0.01
380.0,0.01
378.0,0.00
376.0,0.00
374.0,0.00
372.0,0.00
370.0,0.00
368.0,0.00
366.0,0.00
364.0,0.00
362.0,0.00
360.0,0.00
358.0,0.00
356.0,0.00
354.0,0.00
352.0,0.01
350.0,0.01
348.0,0.01
346.0,0.01
344.0,0.01
342.0,0.01
340.0,0.01
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.01
322.0,0.01
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
248.0,0.00
246.0,0.00
244.0,0.00
242.0,0.00
240.0,0.00
238.0,0.00
236.0,0.00
234.0,0.00
232.0,0.00
230.0,0.00
228.0,0.00
226.0,0.00
224.0,0.00
222.0,0.00
220.0,0.00
218.0,0.00
216.0,0.00
214.0,0.00
212.0,0.00
210.0,0.00
208.0,0.00
206.0,0.01
204.0,0.01
202.0,0.01
200.0,0.02
